iter	Logloss	Logloss:use_weights=true	Logloss:use_weights=false
4760	0.1934074784	0.1934074784	0.1924571702
4780	0.192985206	0.192985206	0.1920465389
4800	0.1925324517	0.1925324517	0.1916010793
4820	0.1921284401	0.1921284401	0.1912071693
4840	0.1916778707	0.1916778707	0.1907656059
4860	0.1912444962	0.1912444962	0.1903463296
4880	0.1908235561	0.1908235561	0.1899356035
4900	0.1903706774	0.1903706774	0.1894936256
4920	0.1899797753	0.1899797753	0.1891129671
4940	0.1895540924	0.1895540924	0.1886974922
4960	0.189164185	0.189164185	0.1883157679
4980	0.1887641525	0.1887641525	0.1879227816
5000	0.1883258398	0.1883258398	0.1874927407
5020	0.1878906001	0.1878906001	0.1870678275
5040	0.1874753444	0.1874753444	0.1866631647
5060	0.1870361612	0.1870361612	0.1862326738
5080	0.1866506947	0.1866506947	0.1858553429
5100	0.1862433437	0.1862433437	0.1854635763
5120	0.1857957407	0.1857957407	0.1850277209
5140	0.1854008951	0.1854008951	0.184640857
5160	0.1849988198	0.1849988198	0.1842509497
5180	0.1846095697	0.1846095697	0.1838742701
5200	0.1841711682	0.1841711682	0.1834445135
5220	0.1837695902	0.1837695902	0.1830483415
5240	0.1833730926	0.1833730926	0.1826646277
5260	0.1830009487	0.1830009487	0.1823016497
5280	0.1826279699	0.1826279699	0.1819408862
5300	0.1822575135	0.1822575135	0.1815817215
5320	0.1818789747	0.1818789747	0.1812159842
5340	0.1815078966	0.1815078966	0.1808552207
5360	0.1811293223	0.1811293223	0.1804901585
5380	0.1807245648	0.1807245648	0.1800913694
5400	0.1803475892	0.1803475892	0.1797209426
5420	0.17996683	0.17996683	0.1793485382
5440	0.1795612908	0.1795612908	0.1789551965
5460	0.1791649353	0.1791649353	0.1785667932
5480	0.1787956335	0.1787956335	0.1782105297
5500	0.178398159	0.178398159	0.1778169868
5520	0.1780380764	0.1780380764	0.1774614458
5540	0.1776448828	0.1776448828	0.1770731608
5560	0.1772455431	0.1772455431	0.1766853614
5580	0.1768705748	0.1768705748	0.1763194228
5600	0.176525751	0.176525751	0.17598489
5620	0.1761538558	0.1761538558	0.1756242213
5640	0.1757965976	0.1757965976	0.1752759159
5660	0.1754088929	0.1754088929	0.1748987153
5680	0.1750504801	0.1750504801	0.1745496638
5700	0.1746995102	0.1746995102	0.1742079309
5720	0.1743406711	0.1743406711	0.1738640308
5740	0.1739651344	0.1739651344	0.1734972633
5760	0.1736068104	0.1736068104	0.1731444934
5780	0.1732270282	0.1732270282	0.1727735455
5800	0.1728533566	0.1728533566	0.1724077609
5820	0.1724770738	0.1724770738	0.1720359604
5840	0.1720704333	0.1720704333	0.1716378345
5860	0.1716503281	0.1716503281	0.1712258176
5880	0.1712775802	0.1712775802	0.1708597369
5900	0.1709074258	0.1709074258	0.1704968418
5920	0.1705340917	0.1705340917	0.1701336743
5940	0.1701555885	0.1701555885	0.1697650357
5960	0.1697668713	0.1697668713	0.1693846259
5980	0.1693623624	0.1693623624	0.1689921488
6000	0.1689795782	0.1689795782	0.1686187022
6020	0.1686107915	0.1686107915	0.1682572282
6040	0.1682234776	0.1682234776	0.1678780854
6060	0.1678781565	0.1678781565	0.1675448316
6080	0.1674837905	0.1674837905	0.1671562387
6100	0.1671351831	0.1671351831	0.1668135347
6120	0.1667602504	0.1667602504	0.166446779
6140	0.1664191036	0.1664191036	0.1661147805
6160	0.1660518269	0.1660518269	0.1657513999
6180	0.1656942845	0.1656942845	0.165400501
6200	0.1653604563	0.1653604563	0.1650766736
6220	0.1649980467	0.1649980467	0.1647255024
6240	0.1646512157	0.1646512157	0.1643859129
6260	0.164271398	0.164271398	0.1640113887
6280	0.1638956303	0.1638956303	0.163639079
6300	0.1635621751	0.1635621751	0.1633183187
6320	0.1632271568	0.1632271568	0.1629873741
6340	0.162870769	0.162870769	0.1626355516
6360	0.1625152162	0.1625152162	0.1622915094
6380	0.1621949415	0.1621949415	0.1619763861
6400	0.1618266877	0.1618266877	0.1616158002
6420	0.1615005866	0.1615005866	0.1612969703
6440	0.1611268617	0.1611268617	0.1609346436
6460	0.1607885927	0.1607885927	0.1606047056
6480	0.1604793313	0.1604793313	0.1603025733
6500	0.1601658245	0.1601658245	0.1599961896
6520	0.1597849765	0.1597849765	0.1596233707
6540	0.1594543102	0.1594543102	0.1593031078
6560	0.1591118845	0.1591118845	0.15896835
6580	0.1587696009	0.1587696009	0.1586326567
6600	0.1584218994	0.1584218994	0.1582973541
6620	0.1580947148	0.1580947148	0.1579757531
6640	0.157750939	0.157750939	0.1576411137
6660	0.1573860426	0.1573860426	0.157280741
6680	0.1570327634	0.1570327634	0.1569334895
6700	0.1566901068	0.1566901068	0.156601337
6720	0.1563467929	0.1563467929	0.1562677871
6740	0.1560212958	0.1560212958	0.1559497506
6760	0.1556986941	0.1556986941	0.1556350181
6780	0.1554145324	0.1554145324	0.1553579796
6800	0.1550929433	0.1550929433	0.155044834
6820	0.1547558111	0.1547558111	0.1547093538
6840	0.1544335113	0.1544335113	0.1543945976
6860	0.1540998608	0.1540998608	0.1540657135
6880	0.1537794972	0.1537794972	0.1537512771
6900	0.1534515487	0.1534515487	0.1534288115
6920	0.1531507072	0.1531507072	0.1531332399
6940	0.1528317115	0.1528317115	0.1528231258
6960	0.1524900852	0.1524900852	0.1524848035
6980	0.1521812679	0.1521812679	0.1521799119
7000	0.1518773355	0.1518773355	0.1518814034
7020	0.1515474863	0.1515474863	0.1515586892
7040	0.1512291656	0.1512291656	0.1512445724
7060	0.1508903637	0.1508903637	0.1509092225
7080	0.1505709061	0.1505709061	0.1505906176
7100	0.1502616802	0.1502616802	0.1502877629
7120	0.1499732198	0.1499732198	0.1500059993
7140	0.1496465148	0.1496465148	0.1496851325
7160	0.1493418719	0.1493418719	0.1493850963
7180	0.1490373889	0.1490373889	0.1490855337
7200	0.1487361921	0.1487361921	0.1487894291
7220	0.1484222501	0.1484222501	0.1484810086
7240	0.1481029524	0.1481029524	0.1481644405
7260	0.1477805017	0.1477805017	0.1478494119
7280	0.1474730877	0.1474730877	0.1475468296
7300	0.1471153588	0.1471153588	0.147191786
7320	0.1468148637	0.1468148637	0.1468962616
7340	0.1465105849	0.1465105849	0.1465948162
7360	0.1462019453	0.1462019453	0.1462936549
7380	0.145878109	0.145878109	0.1459737
7400	0.1455754024	0.1455754024	0.1456777257
7420	0.1452752536	0.1452752536	0.1453831961
7440	0.1449672357	0.1449672357	0.1450772506
7460	0.1446789529	0.1446789529	0.144791579
7480	0.1443363763	0.1443363763	0.1444521909
7500	0.1440318311	0.1440318311	0.1441524152
7520	0.1437311139	0.1437311139	0.1438572935
7540	0.1434110701	0.1434110701	0.143540536
7560	0.1431272815	0.1431272815	0.1432615553
7580	0.1428402067	0.1428402067	0.142979626
7600	0.1425429268	0.1425429268	0.1426865648
7620	0.1422682241	0.1422682241	0.1424183488
7640	0.1419630839	0.1419630839	0.1421170692
7660	0.1416757248	0.1416757248	0.1418331029
7680	0.1413748656	0.1413748656	0.1415381115
7700	0.1410753208	0.1410753208	0.1412398635
7720	0.1407913013	0.1407913013	0.1409589999
7740	0.1404749523	0.1404749523	0.1406466003
7760	0.1401808076	0.1401808076	0.1403581577
7780	0.1399158482	0.1399158482	0.140098255
7800	0.1396426555	0.1396426555	0.1398302048
7820	0.1393688944	0.1393688944	0.1395565887
7840	0.1391049475	0.1391049475	0.1392978347
7860	0.1388208214	0.1388208214	0.1390181435
7880	0.1385348123	0.1385348123	0.1387365102
7900	0.1382413427	0.1382413427	0.1384455215
7920	0.1379827426	0.1379827426	0.1381917886
7940	0.137731621	0.137731621	0.1379435269
7960	0.137450639	0.137450639	0.1376663463
7980	0.1371602335	0.1371602335	0.1373774655
8000	0.1368603601	0.1368603601	0.1370829004
8020	0.1365571738	0.1365571738	0.1367827339
8040	0.1362745487	0.1362745487	0.1365044756
8060	0.1359920213	0.1359920213	0.1362255187
8080	0.1357071491	0.1357071491	0.1359470354
8100	0.1354026217	0.1354026217	0.13564604
8120	0.135118913	0.135118913	0.1353664435
8140	0.1348211535	0.1348211535	0.1350712982
8160	0.1345030726	0.1345030726	0.1347555117
8180	0.1342425985	0.1342425985	0.134496805
8200	0.1339524772	0.1339524772	0.1342102217
8220	0.1336726143	0.1336726143	0.1339339884
8240	0.1334059052	0.1334059052	0.1336727831
8260	0.1331516839	0.1331516839	0.1334216436
8280	0.1329000027	0.1329000027	0.1331749806
8300	0.1326157167	0.1326157167	0.1328932526
8320	0.1323548784	0.1323548784	0.1326382052
8340	0.132093525	0.132093525	0.1323791433
8360	0.131836577	0.131836577	0.1321256236
8380	0.1315612971	0.1315612971	0.131853843
8400	0.1312822246	0.1312822246	0.1315758453
8420	0.1310106839	0.1310106839	0.1313072977
8440	0.1307561517	0.1307561517	0.1310544649
8460	0.1304761378	0.1304761378	0.1307779948
8480	0.1302093044	0.1302093044	0.1305130473
8500	0.1299593995	0.1299593995	0.1302665737
8520	0.1297001866	0.1297001866	0.1300118224
8540	0.129472193	0.129472193	0.1297875887
8560	0.1292028638	0.1292028638	0.1295193371
8580	0.1289394143	0.1289394143	0.1292622884
8600	0.1286610791	0.1286610791	0.1289886723
8620	0.1283725121	0.1283725121	0.1287004902
8640	0.1281240195	0.1281240195	0.1284535193
8660	0.1278635809	0.1278635809	0.1281970272
8680	0.1275934079	0.1275934079	0.1279316533
8700	0.1273468604	0.1273468604	0.1276869798
8720	0.1271004727	0.1271004727	0.1274431944
8740	0.1268469352	0.1268469352	0.127192055
8760	0.1265827752	0.1265827752	0.1269318681
8780	0.1263077439	0.1263077439	0.1266625271
8800	0.1260514709	0.1260514709	0.1264076455
8820	0.1258046924	0.1258046924	0.1261644996
8840	0.1255459769	0.1255459769	0.1259076049
8860	0.1252773138	0.1252773138	0.1256394125
8880	0.1250286791	0.1250286791	0.1253937798
8900	0.1247895033	0.1247895033	0.1251558445
8920	0.1245154668	0.1245154668	0.1248839929
8940	0.1242584921	0.1242584921	0.1246300469
8960	0.1239941278	0.1239941278	0.1243688889
8980	0.1237210328	0.1237210328	0.1240978781
9000	0.1234675664	0.1234675664	0.1238475085
9020	0.1232062574	0.1232062574	0.1235891926
9040	0.1229906271	0.1229906271	0.1233771801
9060	0.1227632996	0.1227632996	0.1231522358
9080	0.1225198251	0.1225198251	0.1229087939
9100	0.122280223	0.1222802319	0.1226710244
9120	0.1220239855	0.1220239855	0.1224147336
9140	0.1217714339	0.1217714339	0.1221648495
9160	0.1215475435	0.1215475435	0.1219419658
9180	0.1213266641	0.1213266641	0.1217260453
9200	0.1210750629	0.1210750629	0.1214776296
9220	0.1208131677	0.1208131677	0.1212184611
9240	0.1205685475	0.1205685475	0.1209785719
9260	0.1203269648	0.1203269648	0.1207413945
9280	0.1200738447	0.1200738447	0.1204884314
9300	0.1198346157	0.1198346157	0.1202524146
9320	0.1195765574	0.1195765574	0.1199947027
9340	0.1193331451	0.1193331451	0.1197527055
9360	0.1190863222	0.1190863222	0.1195057938
9380	0.1188517294	0.1188517294	0.1192725481
9400	0.1186167014	0.1186167014	0.1190399182
9420	0.1183742838	0.1183742838	0.1187970447
9440	0.1181463968	0.1181463968	0.1185723136
9460	0.1178956037	0.1178956037	0.1183221097
9480	0.1176789875	0.1176789875	0.1181056445
9500	0.1174468994	0.1174468994	0.1178762475
9520	0.1172003074	0.1172003074	0.1176333859
9540	0.1169691785	0.1169691785	0.1174033494
9560	0.1167514255	0.1167514255	0.1171871921
9580	0.1165076579	0.1165076579	0.1169471963
9600	0.1162572379	0.1162572379	0.1166985911
9620	0.1160203359	0.1160203359	0.1164641019
9640	0.1157924488	0.1157924488	0.1162376774
9660	0.1155615863	0.1155615863	0.1160094173
9680	0.1153326867	0.1153326867	0.1157833598
9700	0.1151127577	0.1151127577	0.1155652249
9720	0.1148698338	0.1148698338	0.115323879
9740	0.1146518765	0.1146518765	0.1151088941
9760	0.1144077181	0.1144077181	0.1148646114
9780	0.1141941128	0.1141941128	0.114652966
9800	0.1139736864	0.1139736864	0.1144354231
9820	0.1137510662	0.1137510662	0.114215275
9840	0.1135271314	0.1135271314	0.1139916452
9860	0.1133049731	0.1133049731	0.1137715208
9880	0.1130824239	0.1130824239	0.1135497739
9900	0.1128588889	0.1128588889	0.1133272573
9920	0.1126237099	0.1126237099	0.1130923773
9940	0.1123784324	0.1123784324	0.1128488525
9960	0.1121605905	0.1121605905	0.112629782
9980	0.1119291596	0.1119291596	0.112397306
10000	0.1116981018	0.1116981018	0.1121647709
10020	0.1114746378	0.1114746378	0.1119434503
10040	0.1112687507	0.1112687507	0.1117400472
10060	0.1110534313	0.1110534313	0.1115253702
10080	0.1108226843	0.1108226843	0.111297264
10100	0.1105896103	0.1105896103	0.111060809
10120	0.1103888302	0.1103888302	0.1108616691
10140	0.1101697626	0.1101697626	0.1106416275
10160	0.1099518497	0.1099518497	0.1104251979
10180	0.1097329776	0.1097329776	0.1102060563
10200	0.10951947	0.10951947	0.1099922556
10220	0.109302463	0.109302463	0.1097745351
10240	0.1090765654	0.1090765654	0.1095487856
10260	0.1088764515	0.1088764515	0.1093484377
10280	0.1086463084	0.1086463084	0.109119846
10300	0.1084362558	0.1084362558	0.1089113626
10320	0.1082333264	0.1082333264	0.108711145
10340	0.1080142233	0.1080142233	0.1084913403
10360	0.1077902975	0.1077902975	0.1082693684
10380	0.1075995626	0.1075995626	0.1080820708
10400	0.1073869077	0.1073869077	0.1078706741
10420	0.1071849108	0.1071849108	0.1076715223
10440	0.1069718917	0.1069718917	0.107457544
10460	0.1067737229	0.1067737229	0.1072613409
10480	0.1065672762	0.1065672762	0.1070563864
10500	0.10636861	0.10636861	0.1068622795
10520	0.1061552712	0.1061552712	0.1066501959
10540	0.1059455294	0.1059455294	0.1064405756
10560	0.1057314179	0.1057314179	0.1062284802
10580	0.1055249446	0.1055249446	0.1060218915
10600	0.1053360216	0.1053360216	0.1058343215
10620	0.1051267861	0.1051267861	0.1056257195
10640	0.1049261659	0.1049261659	0.1054235361
10660	0.1047232542	0.1047232542	0.1052186882
10680	0.1045118161	0.1045118161	0.1050078244
10700	0.1042979888	0.1042979888	0.1047928514
10720	0.1040970044	0.1040970044	0.1045916035
10740	0.103904733	0.103904733	0.1043991308
10760	0.1036980732	0.1036980732	0.104190967
10780	0.1034967425	0.1034967425	0.1039900981
10800	0.1032769022	0.1032769022	0.103771679
10820	0.1030704023	0.1030704023	0.1035649837
10840	0.1028616997	0.1028616997	0.1033571278
10860	0.1026409713	0.1026409713	0.1031366718
10880	0.1024227653	0.1024227653	0.1029191644
10900	0.1022185746	0.1022185746	0.1027165547
10920	0.1020017275	0.1020017275	0.1024981
10940	0.1017951388	0.1017951388	0.1022914521
10960	0.1015950781	0.1015950781	0.1020912819
10980	0.1013957813	0.1013957813	0.101892367
11000	0.1011982075	0.1011982075	0.1016940205
11020	0.1009913079	0.1009913079	0.1014882725
11040	0.1007934588	0.1007934588	0.1012902813
11060	0.1006044115	0.1006044115	0.1011016336
11080	0.100414325	0.100414325	0.1009127491
11100	0.100205276	0.100205276	0.1007041828
11120	0.1000004281	0.1000004281	0.1004998677
11140	0.09980039408	0.09980039408	0.1003015568
11160	0.09958972864	0.09958972864	0.1000913917
11180	0.09939187064	0.09939187064	0.0998926307
11200	0.09919117938	0.09919117938	0.09969057757
11220	0.09900781634	0.09900781634	0.09950788659
11240	0.09881015373	0.09881015373	0.09931025655
11260	0.09860253473	0.09860253473	0.09910560996
11280	0.09840590241	0.09840590241	0.09891054378
11300	0.09820776019	0.09820776019	0.09871241637
11320	0.0980041646	0.0980041646	0.09850835597
11340	0.09783979067	0.09783979067	0.09834385473
11360	0.09763349504	0.09763349504	0.0981396167
11380	0.09744838231	0.09744838231	0.09795355066
11400	0.09726124454	0.09726124454	0.09776696356
11420	0.09706924847	0.09706924847	0.09757592968
11440	0.09687711918	0.09687711918	0.09738577805
11460	0.09668136614	0.09668136614	0.09719062305
11480	0.09649542741	0.09649542741	0.09700569387
11500	0.09629516246	0.09629516246	0.09680521576
11520	0.09611814985	0.09611814985	0.09662872421
11540	0.09591358616	0.09591358616	0.09642308287
11560	0.09573595182	0.09573595182	0.09624463734
11580	0.09553376843	0.09553376843	0.09604399344
11600	0.09533696735	0.09533696735	0.09584705618
11620	0.09514275974	0.09514275974	0.09565278935
11640	0.09494269019	0.09494269019	0.09545259546
11660	0.09473973409	0.09473973409	0.09524922191
11680	0.09454149417	0.09454149417	0.09505003462
11700	0.09435603505	0.09435603505	0.09486457845
11720	0.09416490051	0.09416490051	0.09467397682
11740	0.09399376759	0.09399376759	0.09450307483
11760	0.09383164074	0.09383164074	0.09434149864
